,class,suff,to_cut
6094,V,re,3
6095,V,are,7
6096,V,are,7
6097,V,ire,1
6098,V,re,5
6099,V,are,3
6100,V,are,4
6101,V,e,1
6102,V,are,1
6103,A,,0
6104,V,re,2
6105,A,o,1
6106,V,re,3
6107,V,are,3
6108,V,re,5
6109,V,re,3
6110,V,iare,8
6111,V,re,3
6112,A,re,3
6113,V,re,2
6114,V,are,8
6115,V,re,2
6116,V,re,3
6117,V,are,6
6118,V,re,3
6119,V,,0
6120,V,are,4
6121,V,are,5
6122,V,re,5
6123,V,,0
6124,V,,2
6125,V,ere,1
6126,V,re,2
6127,N,o,0
6128,A,o,1
6129,V,re,3
6130,A,o,1
6131,V,are,1
6132,V,,0
6133,V,are,4
6134,V,re,4
6135,V,re,1
6136,V,re,2
6137,V,re,2
6138,V,are,7
6139,A,o,1
6140,V,,0
6141,A,o,1
6142,A,re,3
6143,N,e,1
6144,V,ere,0
6145,V,e,3
6146,V,re,4
6147,V,re,0
6148,V,re,4
6149,V,e,3
6150,V,re,0
6151,V,re,3
6152,V,are,4
6153,V,re,2
6154,V,are,7
6155,A,to,2
6156,A,o,1
6157,V,re,4
6158,A,,0
6159,V,are,5
6160,A,,0
6161,N,,0
6162,V,ettere,5
6163,V,re,3
6164,V,re,2
6165,V,are,3
6166,V,are,2
6167,V,,3
6168,V,re,4
6169,V,re,1
6170,V,are,3
6171,V,re,1
6172,V,are,4
6173,V,are,1
6174,V,are,6
6175,V,re,2
6176,V,re,3
6177,V,re,1
6178,V,re,3
6179,V,re,3
6180,V,,3
6181,V,,2
6182,V,re,1
6183,V,are,4
6184,V,re,2
6185,V,are,3
6186,V,re,2
6187,V,re,1
6188,V,are,4
6189,V,e,2
6190,V,re,3
6191,V,re,3
6192,V,,3
6193,V,re,2
6194,V,are,5
6195,V,rre,5
6196,V,re,4
6197,V,,2
6198,V,are,3
6199,V,are,5
6200,V,re,3
6201,V,e,0
6202,V,e,0
6203,N,o,1
6204,V,re,5
6205,V,re,1
6206,V,re,3
6207,A,re,3
6208,V,re,4
6209,V,re,2
6210,V,re,3
6211,N,e,0
6212,V,re,3
6213,V,re,4
6214,V,re,2
6215,V,are,1
6216,V,re,2
6217,V,,2
6218,V,re,2
6219,V,re,3
6220,V,re,2
6221,V,,3
6222,V,re,4
6223,V,are,6
6224,V,are,3
6225,V,re,2
6226,V,re,1
6227,V,are,6
6228,A,re,3
6229,V,re,3
6230,A,o,1
6231,V,are,4
6232,V,,5
6233,V,are,5
6234,V,are,1
6235,V,ire,3
6236,V,cere,2
6237,V,are,1
6238,N,,0
6239,V,are,4
6240,V,re,5
6241,A,o,1
6242,A,,0
6243,V,,5
6244,V,,0
6245,V,re,4
6246,V,re,3
6247,A,o,1
6248,V,re,5
6249,V,are,3
6250,V,,3
6251,V,re,3
6252,V,re,2
6253,V,re,3
6254,A,re,3
6255,V,re,1
6256,V,re,2
6257,V,re,3
6258,V,are,6
6259,V,are,6
6260,A,re,3
6261,V,rre,4
6262,V,re,4
6263,V,,3
6264,V,re,3
6265,A,re,3
6266,V,re,5
6267,V,are,3
6268,A,re,3
6269,V,re,1
6270,V,re,2
6271,V,re,2
6272,V,are,2
6273,V,re,4
6274,V,re,3
6275,V,are,5
6276,V,re,4
6277,V,re,5
6278,A,re,3
6279,V,re,4
6280,A,o,1
6281,A,o,1
6282,N,re,1
6283,V,re,3
6284,V,re,4
6285,V,are,2
6286,A,o,1
6287,V,are,5
6288,V,re,4
6289,V,are,6
6290,V,are,3
6291,V,re,3
6292,V,are,5
6293,N,,0
6294,V,are,6
6295,V,re,2
6296,A,o,1
6297,V,are,4
6298,V,,5
6299,V,are,4
6300,V,re,0
6301,A,re,3
6302,V,re,2
6303,V,are,1
6304,V,are,0
6305,V,re,3
6306,V,re,3
6307,N,,0
6308,V,e,0
6309,V,re,2
6310,A,e,1
6311,V,ndere,4
6312,A,re,3
6313,V,re,3
6314,V,e,3
6315,V,are,5
6316,V,are,7
6317,V,re,3
6318,V,are,3
6319,V,are,1
6320,V,re,2
6321,A,re,3
6322,V,are,4
6323,V,re,2
6324,A,re,3
6325,A,re,3
6326,V,re,5
6327,N,a,1
6328,V,ere,1
6329,V,are,3
6330,V,are,6
6331,A,re,3
6332,V,re,2
6333,V,re,3
6334,V,are,4
6335,V,re,1
6336,V,re,3
6337,V,re,1
6338,V,re,2
6339,V,re,5
6340,V,are,2
6341,V,e,2
6342,V,iare,4
6343,V,re,2
6344,V,iare,6
6345,V,re,2
6346,N,e,1
6347,V,re,2
6348,V,re,2
6349,V,re,4
6350,V,e,4
6351,V,ere,1
6352,V,re,0
6353,V,re,4
6354,V,e,4
6355,V,e,2
6356,V,re,4
6357,V,re,3
6358,N,o,1
6359,V,,2
6360,V,re,2
6361,V,are,1
6362,V,e,0
6363,V,re,4
6364,V,,3
6365,A,to,2
6366,V,re,3
6367,V,re,2
6368,N,,0
6369,V,re,4
6370,V,re,5
6371,V,iare,6
6372,V,re,2
6373,V,re,4
6374,N,e,1
6375,V,are,3
6376,A,e,1
6377,N,,0
6378,V,are,4
6379,V,are,2
6380,V,re,2
6381,A,,0
6382,V,are,4
6383,V,re,4
6384,N,e,1
6385,V,are,6
6386,V,e,2
6387,V,are,1
6388,V,re,2
6389,V,re,3
6390,V,re,1
6391,A,,0
6392,V,are,6
6393,V,re,2
6394,V,are,3
6395,V,e,0
6396,V,re,4
6397,V,,4
6398,A,o,1
6399,V,re,3
6400,V,are,5
6401,A,o,1
6402,V,re,5
6403,A,re,3
6404,V,re,4
6405,A,e,1
6406,V,are,7
6407,V,e,0
6408,V,re,2
6409,V,re,2
6410,V,are,3
6411,V,are,6
6412,V,are,2
6413,N,o,1
6414,V,,0
6415,V,are,0
6416,V,re,3
6417,V,re,3
6418,V,are,6
6419,V,are,6
6420,A,o,2
6421,V,e,2
6422,V,e,3
6423,V,re,4
6424,V,are,5
6425,V,are,6
6426,V,re,3
6427,A,re,3
6428,A,,0
6429,N,a,1
6430,V,are,5
6431,V,are,4
6432,N,o,1
6433,V,are,6
6434,V,are,6
6435,V,are,6
6436,N,o,1
6437,V,re,4
6438,N,o,0
6439,V,are,6
6440,V,e,3
6441,V,are,3
6442,V,,0
6443,N,,0
6444,V,re,3
6445,V,re,2
6446,V,iare,8
6447,V,re,4
6448,V,re,2
6449,V,re,2
6450,V,,2
6451,V,,2
6452,V,re,4
6453,V,e,2
6454,V,e,2
6455,V,re,4
6456,V,re,3
6457,N,a,1
6458,V,re,3
6459,N,,0
6460,V,re,3
6461,V,are,1
6462,V,e,0
6463,V,re,0
6464,V,re,3
6465,A,ire,4
6466,V,rre,4
6467,V,are,3
6468,V,re,6
6469,V,re,3
6470,V,,3
6471,V,e,2
6472,V,re,3
6473,V,ere,2
6474,V,are,6
6475,A,re,3
6476,N,o,2
6477,V,are,6
6478,V,are,3
6479,V,,3
6480,N,a,1
6481,V,re,2
6482,V,re,2
6483,V,re,1
6484,V,re,5
6485,V,re,1
6486,A,re,3
6487,V,,3
6488,V,re,5
6489,V,re,3
6490,V,re,2
6491,V,are,3
6492,V,re,2
6493,V,re,2
6494,V,are,4
6495,A,ire,4
6496,V,,0
6497,A,re,3
6498,V,re,3
6499,A,o,1
6500,N,a,1
6501,V,re,3
6502,V,e,2
6503,V,e,3
6504,V,re,3
6505,V,,5
6506,A,,0
6507,A,e,1
6508,V,re,5
6509,V,re,2
6510,V,re,1
6511,A,o,1
6512,V,,4
6513,V,re,3
6514,V,re,4
6515,V,ere,4
6516,V,are,5
6517,V,are,1
6518,V,re,2
6519,V,,0
6520,V,are,3
6521,N,are,2
6522,V,re,2
6523,A,,0
6524,V,re,2
6525,A,re,3
6526,V,e,2
6527,V,re,3
6528,V,are,4
6529,V,are,3
6530,V,re,2
6531,V,are,7
6532,V,ire,1
6533,N,,1
6534,V,re,1
6535,V,e,4
6536,V,re,1
6537,V,re,2
6538,V,re,5
6539,V,re,3
6540,A,,0
6541,V,are,5
6542,V,are,4
6543,N,o,1
6544,V,re,2
6545,V,are,7
6546,V,re,3
6547,A,ore,4
6548,V,are,6
6549,N,,0
6550,V,e,0
6551,V,are,8
6552,V,are,6
6553,V,re,0
6554,V,re,5
6555,V,re,2
6556,V,re,5
6557,A,,0
6558,V,re,3
6559,V,,2
6560,V,are,3
6561,A,re,3
6562,V,re,3
6563,V,re,3
6564,N,,1
6565,V,,0
6566,A,o,1
6567,V,are,4
6568,V,re,4
6569,V,,0
6570,N,a,1
6571,V,e,3
6572,V,are,7
6573,V,re,3
6574,V,e,0
6575,V,re,3
6576,V,re,1
6577,V,cere,2
6578,V,re,2
6579,A,o,1
6580,V,are,1
6581,N,,0
6582,V,are,1
6583,V,re,3
6584,V,re,3
6585,V,re,3
6586,V,re,4
6587,V,re,3
6588,N,a,1
6589,V,are,1
6590,V,are,5
6591,V,,5
6592,V,re,2
6593,A,o,0
6594,V,are,1
6595,N,e,1
6596,V,,0
6597,V,re,2
6598,N,,0
6599,V,are,4
6600,V,re,4
6601,N,,0
6602,V,e,2
6603,V,re,1
6604,V,re,5
6605,V,are,7
6606,N,,0
6607,V,are,4
6608,N,,1
6609,V,re,4
6610,V,re,3
6611,V,are,8
6612,N,o,0
6613,V,re,1
6614,V,re,2
6615,V,re,5
6616,V,are,6
6617,V,re,2
6618,V,re,4
6619,V,iare,6
6620,V,re,1
6621,V,re,2
6622,V,re,5
6623,V,are,5
6624,V,are,7
6625,V,re,2
6626,N,o,1
6627,V,re,5
6628,N,a,1
6629,V,are,4
6630,V,are,6
6631,V,are,6
6632,V,re,1
6633,V,are,2
6634,N,,0
6635,V,re,3
6636,V,are,3
6637,V,re,2
6638,V,e,1
6639,A,o,0
6640,V,re,2
6641,V,re,3
6642,V,re,3
6643,A,o,1
6644,V,re,4
6645,V,re,2
6646,A,o,1
6647,A,o,1
6648,A,o,1
6649,V,are,3
6650,A,o,1
6651,N,are,1
6652,N,a,1
6653,V,re,5
6654,A,,0
6655,V,re,2
6656,V,are,6
6657,V,e,2
6658,V,re,4
6659,V,re,3
6660,A,re,3
6661,V,re,3
6662,A,to,2
6663,V,re,3
6664,N,a,2
6665,V,re,5
6666,V,are,4
6667,V,are,8
6668,A,e,1
6669,V,re,3
6670,V,are,4
6671,V,re,3
6672,V,are,2
6673,V,ire,1
6674,A,o,1
6675,V,are,7
6676,V,are,4
6677,V,are,6
6678,A,o,1
6679,V,re,4
6680,V,re,3
6681,V,are,4
6682,A,re,3
6683,V,are,8
6684,V,re,5
6685,V,re,2
6686,V,are,4
6687,V,are,5
6688,V,are,7
6689,A,re,3
6690,V,re,2
6691,V,re,2
6692,V,are,3
6693,V,ire,2
6694,A,re,3
6695,V,re,3
6696,V,e,1
6697,V,re,0
6698,V,are,6
6699,N,e,1
6700,V,re,3
6701,V,,0
6702,V,are,9
6703,V,re,5
6704,V,e,0
6705,V,re,3
6706,V,re,3
6707,N,e,1
6708,V,re,4
6709,V,are,1
6710,V,re,2
6711,V,re,2
6712,V,are,4
6713,V,re,0
6714,V,re,3
6715,A,o,1
6716,V,re,3
6717,N,e,1
6718,A,o,1
6719,N,o,0
6720,N,o,1
6721,V,,0
6722,V,are,3
6723,V,re,3
6724,V,rre,5
6725,V,,2
6726,V,re,3
6727,V,re,4
6728,V,,3
6729,V,are,7
6730,V,are,5
6731,V,,0
6732,V,re,1
6733,V,re,2
6734,V,are,4
6735,A,re,3
6736,V,re,4
6737,V,e,2
6738,V,re,4
6739,V,re,0
6740,V,re,3
6741,V,re,2
6742,V,re,3
6743,A,re,3
6744,V,are,4
6745,V,,5
6746,V,are,6
6747,V,are,6
6748,V,re,5
6749,V,are,5
6750,V,are,1
6751,V,re,1
6752,V,re,3
6753,V,re,4
6754,V,are,6
6755,N,o,1
6756,V,e,2
6757,N,o,1
6758,V,are,6
6759,V,are,1
6760,V,re,5
6761,V,re,5
6762,A,a,1
6763,V,are,1
6764,N,,0
6765,V,re,3
6766,N,,0
6767,N,e,0
6768,V,are,4
6769,V,re,4
6770,V,,0
6771,V,re,4
6772,A,o,1
6773,V,re,2
6774,V,are,5
6775,V,are,2
6776,V,are,5
6777,V,are,6
6778,A,,0
6779,V,are,5
6780,V,e,0
6781,V,re,2
6782,V,are,1
6783,V,re,3
6784,V,are,6
6785,V,re,3
6786,V,re,2
6787,V,,3
6788,V,re,2
6789,V,re,0
6790,A,re,3
6791,V,uocere,7
6792,V,,3
6793,V,are,5
6794,V,re,3
6795,V,are,6
6796,V,are,2
6797,V,re,3
6798,V,re,3
6799,V,e,0
6800,A,,0
6801,V,,0
6802,V,re,1
6803,V,e,0
6804,V,re,4
6805,A,re,3
6806,V,re,4
6807,N,,0
6808,A,o,1
6809,V,e,2
6810,V,re,5
6811,V,re,3
6812,A,o,1
6813,V,ere,4
6814,V,re,2
6815,V,are,4
6816,A,,0
6817,V,re,3
6818,V,re,2
6819,V,re,2
6820,V,re,3
6821,V,re,5
6822,V,,3
6823,V,,1
6824,V,are,7
6825,V,re,1
6826,V,uocere,6
6827,V,are,4
6828,N,a,1
6829,V,re,2
6830,V,are,8
6831,V,re,3
6832,V,are,6
6833,V,e,2
6834,V,re,2
6835,V,are,3
6836,V,re,0
6837,V,re,2
6838,V,re,2
6839,A,re,3
6840,N,,0
6841,A,re,3
6842,V,,3
6843,V,are,7
6844,V,re,3
6845,N,,0
6846,V,re,2
6847,V,re,1
6848,V,are,3
6849,V,re,4
6850,V,ire,4
6851,N,a,1
6852,V,,0
6853,V,re,4
6854,V,re,4
6855,V,re,4
6856,V,re,2
6857,V,re,3
6858,V,are,3
6859,A,o,0
6860,V,e,2
6861,V,,1
6862,V,re,4
6863,A,e,1
6864,V,are,8
6865,V,ire,4
6866,V,are,1
6867,V,are,4
6868,V,are,5
6869,V,e,0
6870,V,re,4
6871,V,ire,1
6872,V,are,6
6873,V,re,4
6874,V,re,4
6875,V,,0
6876,V,re,4
6877,V,are,2
6878,V,ere,1
6879,A,o,1
6880,V,re,0
6881,V,re,5
6882,A,o,1
6883,V,are,7
6884,V,re,1
6885,V,are,6
6886,A,ire,4
6887,V,re,1
6888,V,are,4
6889,V,re,2
6890,V,are,2
6891,A,o,1
6892,V,re,2
6893,N,,0
6894,V,are,1
6895,V,re,3
6896,V,re,3
6897,V,e,2
6898,V,,3
6899,V,e,2
6900,V,re,5
6901,V,are,4
6902,V,re,0
6903,V,re,4
6904,A,re,3
6905,V,are,1
6906,V,e,3
6907,V,are,5
6908,V,are,4
6909,V,are,6
6910,A,o,1
6911,V,re,0
6912,V,e,0
6913,V,are,4
6914,V,re,2
6915,V,re,2
6916,V,are,8
6917,V,re,1
6918,V,,0
6919,V,re,2
6920,V,re,2
6921,V,are,3
6922,V,re,2
6923,V,are,1
6924,V,re,1
6925,V,are,4
6926,V,ire,3
6927,V,e,2
6928,V,are,3
6929,V,are,1
6930,V,re,2
6931,V,are,3
6932,V,,0
6933,V,re,2
6934,N,,0
6935,V,re,5
6936,V,re,3
6937,A,re,3
6938,A,o,1
6939,V,are,1
6940,N,re,3
6941,V,,0
6942,V,re,0
6943,V,re,3
6944,V,are,7
6945,V,re,4
6946,N,a,1
6947,A,,0
6948,V,re,0
6949,V,re,3
6950,V,ire,4
6951,V,are,3
6952,V,re,5
6953,V,re,4
6954,V,ere,2
6955,N,,0
6956,V,are,3
6957,V,re,2
6958,A,o,1
6959,V,,4
6960,V,are,3
6961,N,,0
6962,A,o,2
6963,V,are,4
6964,V,are,6
6965,V,uotere,4
6966,V,re,0
6967,V,are,4
6968,V,re,1
6969,V,re,3
6970,V,re,2
6971,V,are,4
6972,A,o,1
6973,A,o,1
6974,V,are,1
6975,N,,0
6976,V,are,6
6977,A,e,1
6978,V,re,2
6979,V,re,3
6980,V,re,4
6981,V,are,6
6982,A,re,3
6983,V,re,2
6984,V,e,3
6985,V,,0
6986,V,are,1
6987,V,are,5
6988,V,are,4
6989,V,e,0
6990,A,o,1
6991,V,are,6
6992,V,re,3
6993,V,,3
6994,V,re,1
6995,V,re,2
6996,V,re,2
6997,V,re,5
6998,V,are,6
6999,V,re,1
7000,V,re,2
7001,V,are,3
7002,V,ere,3
7003,V,re,2
7004,V,are,6
7005,V,re,2
7006,V,are,7
7007,V,re,0
7008,A,,0
7009,V,re,3
7010,V,re,4
7011,V,re,3
7012,V,re,2
7013,V,re,2
7014,V,re,3
7015,V,e,2
7016,V,are,7
7017,V,re,3
7018,V,rre,2
7019,V,re,3
7020,V,re,3
7021,N,e,1
7022,V,re,3
7023,V,re,5
7024,A,o,1
7025,V,e,0
7026,V,re,4
7027,V,are,4
7028,N,re,1
7029,V,re,5
7030,V,re,4
7031,V,re,2
7032,V,,0
7033,V,e,0
7034,V,are,4
7035,V,re,2
7036,V,e,3
7037,V,re,0
7038,V,re,3
7039,V,are,4
7040,V,are,1
7041,N,,0
7042,V,are,6
7043,V,re,4
7044,V,re,2
7045,A,o,2
7046,V,e,1
7047,V,re,3
7048,V,re,3
7049,V,e,2
7050,N,,0
7051,V,re,2
7052,V,are,1
7053,V,re,2
7054,N,o,1
7055,V,are,4
7056,V,re,4
7057,V,re,5
7058,V,re,3
7059,A,re,3
7060,V,re,3
7061,V,re,2
7062,A,re,3
7063,A,re,3
7064,V,re,3
7065,V,are,6
7066,V,are,3
7067,A,o,1
7068,A,a,1
7069,A,o,1
7070,V,are,5
7071,V,re,3
7072,V,are,4
7073,N,,0
7074,V,e,2
7075,V,are,4
7076,V,re,2
7077,V,re,3
7078,V,,0
7079,V,are,4
7080,V,re,2
7081,V,re,2
7082,N,o,1
7083,V,are,1
7084,V,re,3
7085,V,are,6
7086,V,are,5
7087,V,re,3
7088,V,are,1
7089,V,are,1
7090,V,rire,4
7091,N,a,1
7092,N,a,1
7093,V,are,3
7094,A,o,1
7095,V,re,5
7096,V,re,2
7097,V,are,8
7098,V,e,0
7099,N,ta,2
7100,V,are,7
7101,V,e,3
7102,V,re,3
7103,V,re,4
7104,V,are,1
7105,A,ore,4
7106,A,re,3
7107,A,,1
7108,V,are,6
7109,V,re,2
7110,V,re,3
7111,V,iare,4
7112,V,re,5
7113,A,o,1
7114,V,ere,3
7115,V,e,0
7116,V,re,4
7117,N,o,1
7118,A,o,1
7119,V,iare,6
7120,V,re,2
7121,V,e,2
7122,N,re,2
7123,V,re,3
7124,V,are,7
7125,V,re,4
7126,V,are,1
7127,N,,0
7128,V,are,4
7129,V,re,5
7130,V,are,1
7131,V,re,2
7132,A,re,3
7133,V,are,5
7134,V,are,7
7135,V,are,9
7136,V,ere,2
7137,V,iare,8
7138,V,re,2
7139,V,are,7
7140,V,are,5
7141,V,re,2
7142,V,are,5
7143,V,re,2
7144,V,re,2
7145,V,re,2
7146,V,are,5
7147,V,,3
7148,V,re,2
7149,V,re,1
7150,V,,0
7151,V,are,2
7152,V,are,4
7153,V,,0
7154,A,,1
7155,A,o,1
7156,N,,0
7157,V,re,4
7158,V,re,2
7159,V,re,3
7160,V,iare,8
7161,V,iare,5
7162,V,re,3
7163,V,re,4
7164,V,re,4
7165,V,re,4
7166,V,,0
7167,V,re,2
7168,A,re,3
7169,V,ere,2
7170,N,,0
7171,V,ndere,2
7172,V,re,2
7173,V,re,2
7174,V,re,4
7175,V,re,2
7176,A,e,1
7177,V,e,0
7178,V,are,6
7179,N,,0
7180,V,re,4
7181,A,re,3
7182,V,are,5
7183,V,are,5
7184,V,are,4
7185,V,are,4
7186,V,re,4
7187,V,are,5
7188,V,re,4
7189,V,re,0
7190,A,e,1
7191,A,o,1
7192,V,are,4
7193,V,are,5
7194,V,are,3
7195,V,are,5
7196,V,are,4
7197,N,,0
7198,V,re,4
7199,V,are,6
7200,V,re,3
7201,V,iare,6
7202,V,re,3
7203,V,are,4
7204,V,re,2
7205,V,are,1
7206,V,are,7
7207,V,,0
7208,V,re,3
7209,V,re,3
7210,V,re,1
7211,V,re,1
7212,V,re,3
7213,V,,4
7214,V,re,2
7215,V,re,0
7216,A,o,1
7217,V,are,2
7218,V,ttere,3
7219,V,re,2
7220,N,e,1
7221,V,re,4
7222,N,o,0
7223,V,,3
7224,V,iare,5
7225,V,re,3
7226,V,re,4
7227,V,re,2
7228,V,re,2
7229,V,re,3
7230,V,re,5
7231,V,,2
7232,V,re,3
7233,V,,0
7234,V,re,3
7235,V,re,3
7236,V,re,2
7237,V,re,3
7238,V,re,3
7239,N,o,1
7240,V,are,7
7241,V,are,3
7242,A,re,3
7243,V,are,3
7244,V,re,2
7245,V,re,2
7246,V,re,5
7247,V,are,6
7248,V,,2
7249,V,re,5
7250,V,are,3
7251,A,are,1
7252,V,re,2
7253,V,re,2
7254,V,re,2
7255,V,re,3
7256,V,re,2
7257,V,are,5
7258,V,re,2
7259,V,re,2
7260,V,are,1
7261,V,re,2
7262,V,are,1
7263,V,re,2
7264,N,a,1
7265,V,are,4
7266,V,are,6
7267,A,o,1
7268,V,re,3
7269,V,rre,3
7270,V,re,3
7271,V,re,4
7272,V,are,2
7273,V,are,7
7274,V,ire,4
7275,V,re,4
7276,N,e,1
7277,V,re,2
7278,V,re,4
7279,V,are,6
7280,V,re,5
7281,N,,0
7282,A,re,3
7283,A,e,1
7284,V,are,4
7285,V,are,6
7286,V,,5
7287,V,are,4
7288,V,,3
7289,A,o,1
7290,V,re,4
7291,V,re,2
7292,V,re,5
7293,V,are,6
7294,V,re,4
7295,V,re,2
7296,V,re,2
7297,V,are,4
7298,V,re,2
7299,V,re,4
7300,V,re,2
7301,V,,2
7302,V,re,3
7303,V,re,2
7304,V,ere,4
7305,V,are,7
7306,V,re,5
7307,V,,0
7308,V,are,6
7309,V,re,1
7310,V,re,4
7311,V,are,8
7312,N,,0
7313,A,o,1
7314,V,re,3
7315,V,are,3
7316,V,re,3
7317,V,are,3
7318,V,re,1
7319,V,are,1
7320,V,,2
7321,V,re,3
7322,A,o,1
7323,V,re,2
7324,V,are,6
7325,V,,3
7326,N,,0
7327,N,,0
7328,V,re,2
7329,A,o,1
7330,V,are,6
7331,V,re,2
7332,V,are,6
7333,V,re,0
7334,V,are,6
7335,V,re,1
7336,V,re,3
7337,A,o,1
7338,V,are,7
7339,V,are,2
7340,V,are,6
7341,V,re,2
7342,V,e,4
7343,V,re,3
7344,V,re,2
7345,V,re,4
7346,V,re,3
7347,A,o,1
7348,V,are,6
7349,V,re,1
7350,V,e,2
7351,V,re,5
7352,V,ere,4
7353,V,,3
7354,V,re,4
7355,V,re,3
7356,V,re,4
7357,N,,0
7358,V,,0
7359,V,re,2
7360,V,re,2
7361,V,re,2
7362,V,re,0
7363,V,re,3
7364,N,,0
7365,N,,0
7366,A,re,3
7367,V,re,5
7368,N,e,1
7369,V,,5
7370,V,are,3
7371,V,are,6
7372,V,are,4
7373,V,re,5
7374,V,are,6
7375,V,are,1
7376,V,are,3
7377,V,re,2
7378,A,re,5
7379,A,o,1
7380,V,are,4
7381,A,re,3
7382,V,re,4
7383,V,rre,7
7384,V,are,1
7385,V,re,2
7386,V,are,7
7387,V,ere,3
7388,V,re,5
7389,A,o,1
7390,V,are,4
7391,V,,0
7392,V,re,2
7393,V,are,1
7394,V,re,3
7395,V,re,4
7396,V,are,3
7397,V,iare,5
7398,A,o,1
7399,V,re,2
7400,V,re,1
7401,V,re,3
7402,A,,0
7403,V,are,5
7404,V,re,4
7405,V,re,3
7406,V,re,3
7407,V,are,6
7408,V,are,4
7409,V,are,6
7410,V,are,6
7411,V,are,6
7412,V,e,0
7413,N,a,1
7414,V,re,4
7415,A,,0
7416,V,ire,3
7417,V,are,3
7418,N,a,1
7419,V,re,1
7420,V,are,4
7421,A,o,1
7422,N,,0
7423,V,re,1
7424,V,re,4
7425,V,re,2
7426,V,are,7
7427,V,ere,4
7428,V,e,0
7429,V,re,3
7430,A,o,1
7431,V,re,2
7432,V,re,3
7433,V,are,3
7434,V,ere,2
7435,V,re,2
7436,V,e,1
7437,V,re,2
7438,V,re,4
7439,V,re,3
7440,N,a,1
7441,V,,3
7442,V,re,3
7443,V,iare,4
7444,A,re,3
7445,V,are,4
7446,V,re,3
7447,V,iare,6
7448,N,,0
7449,A,re,3
7450,A,are,1
7451,V,are,4
7452,V,are,3
7453,V,re,3
7454,A,o,1
7455,V,re,1
7456,V,,3
7457,V,are,2
7458,V,re,3
7459,V,,0
7460,V,are,7
7461,V,re,1
7462,V,re,3
7463,V,are,4
7464,V,re,3
7465,V,are,6
7466,V,e,3
7467,V,are,6
7468,V,are,3
7469,V,re,2
7470,V,,0
7471,V,e,0
7472,V,are,4
7473,V,are,4
7474,V,e,3
7475,V,re,4
7476,V,e,1
7477,V,o,2
7478,V,re,4
7479,V,re,2
7480,V,e,2
7481,V,are,1
7482,V,re,2
7483,V,are,4
7484,V,ire,2
7485,V,are,4
7486,V,are,3
7487,V,e,1
7488,V,are,6
7489,A,,0
7490,V,e,2
7491,V,are,7
7492,V,re,2
7493,V,e,3
7494,V,e,2
7495,V,,3
7496,A,re,3
7497,V,are,6
7498,V,are,3
7499,V,re,2
7500,V,,5
7501,V,re,3
7502,A,re,3
7503,V,re,5
7504,N,a,1
7505,V,are,1
7506,V,re,2
7507,V,re,3
7508,V,re,3
7509,N,a,1
7510,A,o,1
7511,V,re,5
7512,V,re,2
7513,V,are,6
7514,V,,0
7515,V,re,2
7516,V,re,2
7517,A,,0
7518,V,re,4
7519,A,rre,5
7520,V,re,3
7521,V,are,4
7522,V,,0
7523,V,re,2
7524,A,o,0
7525,V,re,1
7526,V,are,1
7527,V,e,1
7528,A,,0
7529,N,are,2
7530,V,re,1
7531,N,re,0
7532,A,re,3
7533,N,,0
7534,V,re,4
7535,V,are,6
7536,V,re,3
7537,V,re,3
7538,V,o,3
7539,V,re,3
7540,V,,0
7541,V,re,3
7542,V,are,6
7543,A,,1
7544,V,ere,1
7545,V,re,5
7546,V,iare,6
7547,N,a,1
7548,V,re,2
7549,V,re,3
7550,A,o,1
7551,V,re,2
7552,V,are,4
7553,V,are,8
7554,V,are,6
7555,N,,0
7556,V,are,4
7557,V,re,3
7558,V,re,3
7559,V,re,3
7560,V,re,2
7561,V,are,4
7562,A,re,3
7563,N,,0
7564,V,are,6
7565,V,e,0
7566,V,re,2
7567,V,are,5
7568,A,re,3
7569,V,re,2
7570,V,are,9
7571,V,re,2
7572,A,,0
7573,A,,0
7574,V,are,5
7575,N,,0
7576,N,,0
7577,V,re,2
7578,V,are,8
7579,V,e,1
7580,V,are,7
7581,V,re,5
7582,V,re,2
7583,V,re,2
7584,V,are,6
7585,V,e,2
7586,V,are,5
7587,V,to,2
7588,V,re,3
7589,V,re,3
7590,V,are,4
7591,V,re,2
7592,V,are,2
7593,V,re,1
7594,V,are,6
7595,N,e,1
7596,V,re,3
7597,V,re,3
7598,V,,2
7599,V,are,6
7600,V,,3
7601,V,re,3
7602,V,re,3
7603,V,re,1
7604,N,,0
7605,V,re,5
7606,V,e,2
7607,V,re,3
7608,V,re,3
7609,V,re,2
7610,V,re,0
7611,A,re,3
7612,V,are,6
7613,V,are,1
7614,A,o,1
7615,V,,5
7616,V,e,1
7617,V,re,3
7618,V,re,3
7619,V,are,6
7620,V,re,3
7621,V,ire,2
7622,V,re,4
7623,V,are,6
7624,V,re,3
7625,N,o,0
7626,V,are,6
7627,V,re,2
7628,V,are,4
7629,V,urre,4
7630,V,re,0
7631,A,,0
7632,A,o,1
7633,A,e,1
7634,N,a,1
7635,V,re,0
7636,A,e,1
7637,N,e,1
7638,A,,0
7639,V,re,4
7640,V,re,2
7641,V,are,6
7642,V,re,2
7643,V,are,1
7644,V,ere,4
7645,V,re,1
7646,A,e,1
7647,V,are,2
7648,V,re,4
7649,V,re,3
7650,V,re,3
7651,V,re,2
7652,N,o,1
7653,V,are,7
7654,V,re,1
7655,V,re,3
7656,N,e,1
7657,V,iare,6
